name,source_query,target_query,domain,dataset,expected_status
hc_clean_row_count,"SELECT COUNT(*) AS row_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CLEAN","SELECT 100000 AS row_count",healthcare,HC_Clean,PASS
hc_clean_missing_patient_id,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CLEAN WHERE patient_id IS NULL OR TRIM(patient_id) = ''","SELECT 0 AS violation_count",healthcare,HC_Clean,PASS
hc_clean_allowed_le_submitted,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CLEAN WHERE TRY_TO_DECIMAL(allowed_amount, 18, 2) > TRY_TO_DECIMAL(submitted_amount, 18, 2)","SELECT 0 AS violation_count",healthcare,HC_Clean,PASS
hc_missing_patient_id,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_MISSING_DATA WHERE patient_id IS NULL OR TRIM(patient_id) = ''","SELECT 0 AS violation_count",healthcare,HC_Missing_Data,FAIL
hc_format_dob_iso,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_FORMAT_ERRORS WHERE TRY_TO_DATE(dob, 'YYYY-MM-DD') IS NULL","SELECT 0 AS violation_count",healthcare,HC_Format_Errors,FAIL
hc_format_effective_date_iso,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_FORMAT_ERRORS WHERE TRY_TO_DATE(effective_date, 'YYYY-MM-DD') IS NULL","SELECT 0 AS violation_count",healthcare,HC_Format_Errors,FAIL
hc_format_submitted_amount_numeric,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_FORMAT_ERRORS WHERE TRY_TO_DECIMAL(submitted_amount, 18, 2) IS NULL","SELECT 0 AS violation_count",healthcare,HC_Format_Errors,FAIL
hc_constraint_future_service_date,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CONSTRAINT_ERRORS WHERE TRY_TO_DATE(service_date, 'YYYY-MM-DD') > CURRENT_DATE()","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
hc_constraint_effective_date_le_end_date,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CONSTRAINT_ERRORS WHERE TRY_TO_DATE(effective_date, 'YYYY-MM-DD') > TRY_TO_DATE(end_date, 'YYYY-MM-DD')","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
hc_constraint_allowed_le_submitted,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CONSTRAINT_ERRORS WHERE TRY_TO_DECIMAL(allowed_amount, 18, 2) > TRY_TO_DECIMAL(submitted_amount, 18, 2)","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
hc_constraint_approved_le_submitted,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CONSTRAINT_ERRORS WHERE TRY_TO_DECIMAL(approved_amount, 18, 2) > TRY_TO_DECIMAL(submitted_amount, 18, 2)","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
hc_constraint_valid_blood_type,"SELECT COUNT(*) AS violation_count FROM DATA_VALIDATOR.PUBLIC.DQV_HC_CONSTRAINT_ERRORS WHERE blood_type NOT IN ('A+', 'A-', 'B+', 'B-', 'AB+', 'AB-', 'O+', 'O-')","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
