name,source_query,target_query
gold_financial_summary_table_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS table_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.TABLES WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_ENTERPRISE_CLAIMS_FINANCIAL_SUMMARY'","SELECT 1 AS table_present"
gold_member_state_lob_summary_table_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS table_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.TABLES WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEMBER_CLAIMS_STATE_LOB_SUMMARY'","SELECT 1 AS table_present"
gold_member_serving_table_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS table_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.TABLES WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEMBER_CLAIMS_SERVING'","SELECT 1 AS table_present"
gold_data_quality_summary_table_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS table_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.TABLES WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEDALLION_DATA_QUALITY_SUMMARY'","SELECT 1 AS table_present"
gold_run_audit_table_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS table_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.TABLES WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEDALLION_RUN_AUDIT'","SELECT 1 AS table_present"
gold_financial_summary_has_columns,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS has_columns FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.COLUMNS WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_ENTERPRISE_CLAIMS_FINANCIAL_SUMMARY'","SELECT 1 AS has_columns"
gold_member_state_lob_summary_has_columns,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS has_columns FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.COLUMNS WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEMBER_CLAIMS_STATE_LOB_SUMMARY'","SELECT 1 AS has_columns"
gold_member_serving_has_columns,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS has_columns FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.COLUMNS WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEMBER_CLAIMS_SERVING'","SELECT 1 AS has_columns"
gold_dq_domain_column_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS column_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.COLUMNS WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEDALLION_DATA_QUALITY_SUMMARY' AND COLUMN_NAME = 'DOMAIN'","SELECT 1 AS column_present"
gold_dq_record_quality_status_column_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS column_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.COLUMNS WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEDALLION_DATA_QUALITY_SUMMARY' AND COLUMN_NAME = 'RECORD_QUALITY_STATUS'","SELECT 1 AS column_present"
gold_dq_row_count_column_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS column_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.COLUMNS WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEDALLION_DATA_QUALITY_SUMMARY' AND COLUMN_NAME = 'ROW_COUNT'","SELECT 1 AS column_present"
gold_run_audit_raw_claims_rows_column_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS column_present FROM MULTISTAGE_VALIDATION.INFORMATION_SCHEMA.COLUMNS WHERE TABLE_SCHEMA = 'DATA_VALIDATOR_GOLD_LAKE' AND TABLE_NAME = 'GOLD_MEDALLION_RUN_AUDIT' AND COLUMN_NAME = 'RAW_CLAIMS_ROWS'","SELECT 1 AS column_present"
gold_raw_claims_audit_reconciliation,"SELECT RAW_CLAIMS_ROWS AS row_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEDALLION_RUN_AUDIT","SELECT COUNT(*) AS row_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_RAW_LAKE.RAW_ENTERPRISE_MEDICAL_CLAIMS"
gold_enterprise_invalid_reconciliation,"SELECT COALESCE(SUM(ROW_COUNT), 0) AS invalid_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEDALLION_DATA_QUALITY_SUMMARY WHERE DOMAIN = 'ENTERPRISE_CLAIMS' AND RECORD_QUALITY_STATUS <> 'VALID'","SELECT COUNT(*) AS invalid_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_SILVER_LAKE.SILVER_ENTERPRISE_MEDICAL_CLAIMS WHERE RECORD_QUALITY_STATUS <> 'VALID'"
gold_member_serving_reconciliation,"SELECT COUNT(*) AS row_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEMBER_CLAIMS_SERVING","SELECT COUNT(*) AS row_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_SILVER_LAKE.SILVER_HEALTH_CARE_MEMBERS_CLAIMS"
gold_financial_summary_nonzero_rows,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS has_rows FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_ENTERPRISE_CLAIMS_FINANCIAL_SUMMARY","SELECT 1 AS has_rows"
gold_member_state_lob_summary_nonzero_rows,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS has_rows FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEMBER_CLAIMS_STATE_LOB_SUMMARY","SELECT 1 AS has_rows"
gold_member_serving_nonzero_rows,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS has_rows FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEMBER_CLAIMS_SERVING","SELECT 1 AS has_rows"
gold_dq_summary_nonzero_rows,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS has_rows FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEDALLION_DATA_QUALITY_SUMMARY","SELECT 1 AS has_rows"
gold_run_audit_single_row_check,"SELECT CASE WHEN COUNT(*) = 1 THEN 1 ELSE 0 END AS single_row FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEDALLION_RUN_AUDIT","SELECT 1 AS single_row"
gold_dq_enterprise_domain_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS domain_present FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEDALLION_DATA_QUALITY_SUMMARY WHERE DOMAIN = 'ENTERPRISE_CLAIMS'","SELECT 1 AS domain_present"
gold_dq_non_valid_enterprise_present,"SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END AS non_valid_present FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEDALLION_DATA_QUALITY_SUMMARY WHERE DOMAIN = 'ENTERPRISE_CLAIMS' AND RECORD_QUALITY_STATUS <> 'VALID'","SELECT 1 AS non_valid_present"
gold_run_audit_raw_claims_nonzero,"SELECT CASE WHEN RAW_CLAIMS_ROWS > 0 THEN 1 ELSE 0 END AS raw_claims_nonzero FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEDALLION_RUN_AUDIT","SELECT 1 AS raw_claims_nonzero"
gold_member_serving_vs_silver_members,"SELECT COUNT(*) AS row_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_GOLD_LAKE.GOLD_MEMBER_CLAIMS_SERVING","SELECT COUNT(*) AS row_count FROM MULTISTAGE_VALIDATION.DATA_VALIDATOR_SILVER_LAKE.SILVER_HEALTH_CARE_MEMBERS_CLAIMS"
