name,source_query,target_query,domain,dataset,expected_status
hc_clean_row_count,"SELECT COUNT(*) AS row_count FROM dqv_pg_demo_20260429.hc_clean","SELECT 100000 AS row_count",healthcare,HC_Clean,PASS
hc_clean_missing_patient_id,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_clean WHERE patient_id IS NULL OR BTRIM(patient_id) = ''","SELECT 0 AS violation_count",healthcare,HC_Clean,PASS
hc_clean_allowed_le_submitted,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_clean WHERE CASE WHEN BTRIM(allowed_amount) ~ '^[+-]?[0-9]+(\.[0-9]+)?$' AND BTRIM(submitted_amount) ~ '^[+-]?[0-9]+(\.[0-9]+)?$' THEN allowed_amount::numeric > submitted_amount::numeric ELSE FALSE END","SELECT 0 AS violation_count",healthcare,HC_Clean,PASS
hc_missing_patient_id,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_missing_data WHERE patient_id IS NULL OR BTRIM(patient_id) = ''","SELECT 0 AS violation_count",healthcare,HC_Missing_Data,FAIL
hc_format_dob_iso,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_format_errors WHERE CASE WHEN BTRIM(dob) ~ '^[0-9]{4}-[0-9]{2}-[0-9]{2}$' THEN TO_CHAR(TO_DATE(BTRIM(dob), 'YYYY-MM-DD'), 'YYYY-MM-DD') <> BTRIM(dob) ELSE TRUE END","SELECT 0 AS violation_count",healthcare,HC_Format_Errors,FAIL
hc_format_effective_date_iso,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_format_errors WHERE CASE WHEN BTRIM(effective_date) ~ '^[0-9]{4}-[0-9]{2}-[0-9]{2}$' THEN TO_CHAR(TO_DATE(BTRIM(effective_date), 'YYYY-MM-DD'), 'YYYY-MM-DD') <> BTRIM(effective_date) ELSE TRUE END","SELECT 0 AS violation_count",healthcare,HC_Format_Errors,FAIL
hc_format_submitted_amount_numeric,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_format_errors WHERE NOT (BTRIM(submitted_amount) ~ '^[+-]?[0-9]+(\.[0-9]+)?$')","SELECT 0 AS violation_count",healthcare,HC_Format_Errors,FAIL
hc_constraint_future_service_date,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_constraint_errors WHERE CASE WHEN BTRIM(service_date) ~ '^[0-9]{4}-[0-9]{2}-[0-9]{2}$' THEN TO_DATE(BTRIM(service_date), 'YYYY-MM-DD') > CURRENT_DATE ELSE FALSE END","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
hc_constraint_effective_date_le_end_date,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_constraint_errors WHERE CASE WHEN BTRIM(effective_date) ~ '^[0-9]{4}-[0-9]{2}-[0-9]{2}$' AND BTRIM(end_date) ~ '^[0-9]{4}-[0-9]{2}-[0-9]{2}$' THEN TO_DATE(BTRIM(effective_date), 'YYYY-MM-DD') > TO_DATE(BTRIM(end_date), 'YYYY-MM-DD') ELSE FALSE END","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
hc_constraint_allowed_le_submitted,"SELECT COUNT(*) AS violation_count FROM dqv_pg_demo_20260429.hc_constraint_errors WHERE CASE WHEN BTRIM(allowed_amount) ~ '^[+-]?[0-9]+(\.[0-9]+)?$' AND BTRIM(submitted_amount) ~ '^[+-]?[0-9]+(\.[0-9]+)?$' THEN allowed_amount::numeric > submitted_amount::numeric ELSE FALSE END","SELECT 0 AS violation_count",healthcare,HC_Constraint_Errors,FAIL
